Planet Name,Host Name,Planet Letter,Number of Stars,Number of Planets,Number of Moons,Discovery Method,Discovery Year,Discovery Publication Date,Discovery Locale,Discovery Facility,Discovery Telescope,Discovery Instrument
Kepler-11 c,Kepler-11,c,1,6,0,Transit,2010,2011-02,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-11 d,Kepler-11,d,1,6,0,Transit,2010,2011-02,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-11 e,Kepler-11,e,1,6,0,Transit,2010,2011-02,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-11 f,Kepler-11,f,1,6,0,Transit,2010,2011-02,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-11 g,Kepler-11,g,1,6,0,Transit,2010,2011-02,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-40 b,Kepler-40,b,1,1,0,Transit,2010,2011-04,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-8 b,Kepler-8,b,1,1,0,Transit,2010,2010-12,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-9 b,Kepler-9,b,1,3,0,Transit,2010,2010-10,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-9 c,Kepler-9,c,1,3,0,Transit,2010,2010-10,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
Kepler-9 d,Kepler-9,d,1,3,0,Transit,2010,2011-01,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array
MOA-2009-BLG-319L b,MOA-2009-BLG-319L,b,1,1,0,Microlensing,2010,2011-02,Ground,MOA,1.8 m MOA Telescope,MOA CCD Array
MOA-2009-BLG-387L b,MOA-2009-BLG-387L,b,1,1,0,Microlensing,2010,2011-05,Ground,MOA,1.8 m MOA Telescope,MOA CCD Array
NN Ser c,NN Ser,c,2,2,0,Eclipse Timing Variations,2010,2010-10,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments
NN Ser d,NN Ser,d,2,2,0,Eclipse Timing Variations,2010,2010-10,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments
Qatar-1 b,Qatar-1,b,1,1,0,Transit,2010,2011-10,Ground,Qatar,Canon 400mm f/2.8L,FLI ProLine 4K CCD Sensor
Ross 458 c,Ross 458,c,2,1,0,Imaging,2010,2010-12,Ground,Las Campanas Observatory,6.5 m Magellan I Baade Telescope,FIRE Spectrograph
SR 12 AB c,SR 12 AB,c,2,1,0,Imaging,2010,2011-04,Ground,Infrared Survey Facility,1.4 m IRSF Telescope,SIRIUS Camera
WASP-21 b,WASP-21,b,1,1,0,Transit,2010,2010-09,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera
WASP-22 b,WASP-22,b,1,1,0,Transit,2010,2010-12,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera
WASP-23 b,WASP-23,b,1,1,0,Transit,2010,2011-07,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera
WASP-24 b,WASP-24,b,3,1,0,Transit,2010,2010-09,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera
WASP-25 b,WASP-25,b,1,1,0,Transit,2010,2011-01,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera
WASP-26 b,WASP-26,b,2,1,0,Transit,2010,2010-09,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera
WASP-29 b,WASP-29,b,1,1,0,Transit,2010,2010-11,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera
WASP-31 b,WASP-31,b,1,1,0,Transit,2010,2011-07,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera
WASP-32 b,WASP-32,b,1,1,0,Transit,2010,2010-12,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera
WASP-33 b,WASP-33,b,2,1,0,Transit,2010,2010-09,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera
WASP-34 b,WASP-34,b,1,1,0,Transit,2010,2011-02,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera
WASP-37 b,WASP-37,b,1,1,0,Transit,2010,2011-01,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera
WASP-38 b,WASP-38,b,1,1,0,Transit,2010,2011-01,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera
WASP-8 b,WASP-8,b,2,2,0,Transit,2010,2010-07,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera
alf Ari b,alf Ari,b,1,1,0,Radial Velocity,2010,2011-05,Ground,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,BOES Echelle Spectrograph
7 CMa b,7 CMa,b,1,2,0,Radial Velocity,2011,2011-12,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph
BD+48 738 b,BD+48 738,b,1,1,0,Radial Velocity,2011,2012-01,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,b,1,1,0,Imaging,2011,2011-10,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera
CoRoT-16 b,CoRoT-16,b,1,1,0,Transit,2011,2012-05,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
CoRoT-17 b,CoRoT-17,b,1,1,0,Transit,2011,2011-07,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
CoRoT-18 b,CoRoT-18,b,1,1,0,Transit,2011,2011-09,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
CoRoT-19 b,CoRoT-19,b,1,1,0,Transit,2011,2012-01,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
CoRoT-20 b,CoRoT-20,b,1,2,0,Transit,2011,2012-02,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
CoRoT-23 b,CoRoT-23,b,1,1,0,Transit,2011,2012-01,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array
GJ 433 b,GJ 433,b,1,3,0,Radial Velocity,2011,2013-01,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
GJ 667 C b,GJ 667 C,b,3,5,0,Radial Velocity,2011,2013-01,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
GJ 667 C c,GJ 667 C,c,3,5,0,Radial Velocity,2011,2013-01,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph
HAT-P-27 b,HAT-P-27,b,1,1,0,Transit,2011,2011-06,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-28 b,HAT-P-28,b,1,1,0,Transit,2011,2011-06,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-29 b,HAT-P-29,b,1,1,0,Transit,2011,2011-06,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-30 b,HAT-P-30,b,2,1,0,Transit,2011,2011-07,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-31 b,HAT-P-31,b,1,1,0,Transit,2011,2011-09,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
HAT-P-32 b,HAT-P-32,b,2,1,0,Transit,2011,2011-11,Ground,HATNet,Canon 200mm f/1.8L,2K CCD Sensor
