,longitude,latitude,TOT,CR,TIME,MO,YR
11573,-73.887146073615,40.760125296039,1,BURGLARY,08/05/2013,8,2013
22853,-73.88652955858599,40.855037301955,1,BURGLARY,06/26/2013,6,2013
77026,-74.25248072478699,40.507604902573,1,BURGLARY,05/08/2013,5,2013
95025,-73.954230100084,40.81617225379,1,FELONY ASSAULT,10/20/2013,10,2013
93038,-73.947846283503,40.807068043742,1,FELONY ASSAULT,07/03/2013,7,2013
82970,-73.88882929319101,40.826513762920996,1,BURGLARY,12/30/2013,12,2013
92484,-73.861657690536,40.748061781051,1,FELONY ASSAULT,07/27/2013,7,2013
83052,-73.881526596341,40.846916176680004,1,GRAND LARCENY OF MOTOR VEHICLE,12/18/2013,12,2013
47113,-74.015264419198,40.64535506534,1,FELONY ASSAULT,04/03/2013,4,2013
73263,-74.007137841022,40.739965285285,7,GRAND LARCENY,01/13/2013,1,2013
70120,-73.897173869575,40.661905070705,1,ROBBERY,11/22/2013,11,2013
60883,-73.93040105760801,40.656646270441996,1,MURDER,02/02/2013,2,2013
32360,-73.989394674236,40.737486507044004,1,GRAND LARCENY,01/05/2013,1,2013
73208,-73.746254367956,40.74425050829,1,BURGLARY,01/28/2013,1,2013
83336,-73.92487680706,40.691097970878,1,BURGLARY,12/20/2013,12,2013
21249,-73.954623841964,40.800346332692,1,FELONY ASSAULT,04/04/2013,4,2013
58304,-73.982163800034,40.600735373617,1,ROBBERY,07/09/2013,7,2013
49304,-73.859525197827,40.708477023045,1,ROBBERY,04/22/2013,4,2013
59964,-73.934380857238,40.63012025621,1,GRAND LARCENY,01/19/2013,1,2013
1908,-73.800060225523,40.702907787998,1,ROBBERY,12/31/2013,12,2013
91635,-73.956037762101,40.682964867806,1,GRAND LARCENY OF MOTOR VEHICLE,05/21/2013,5,2013
4650,-73.77972671369899,40.713638412171996,1,FELONY ASSAULT,10/15/2013,10,2013
62921,-73.999314483681,40.728245405597,1,GRAND LARCENY,05/22/2013,5,2013
10193,-73.992411604162,40.57695830207,1,BURGLARY,08/06/2013,8,2013
23313,-73.979226939425,40.641796960948,1,ROBBERY,05/29/2013,5,2013
59534,-73.98467146613,40.610726792369,1,GRAND LARCENY OF MOTOR VEHICLE,06/02/2013,6,2013
85563,-73.990970452885,40.692552160874,1,ROBBERY,07/14/2013,7,2013
89473,-73.918419848551,40.85209998017,1,FELONY ASSAULT,04/26/2013,4,2013
95919,-73.973273224696,40.752376906338,2,GRAND LARCENY,11/10/2013,11,2013
12421,-73.941972534252,40.695452830596,1,GRAND LARCENY,09/27/2013,9,2013
59409,-73.83255865267701,40.700354864477,1,FELONY ASSAULT,01/03/2013,1,2013
51554,-73.985846616581,40.690858122163,2,GRAND LARCENY,07/29/2013,7,2013
