,longitude,latitude,TOT,CR,TIME,MO,YR
81699,-73.954804190652,40.58791514787,1,BURGLARY,10/25/2013,10,2013
75281,-73.94061158579099,40.814439614086,1,FELONY ASSAULT,02/03/2013,2,2013
29108,-73.811991794566,40.726895203402,1,GRAND LARCENY,12/22/2013,12,2013
1371,-73.942993682176,40.838160650088,1,FELONY ASSAULT,12/24/2013,12,2013
11617,-74.165594485996,40.543404649169,1,GRAND LARCENY,08/16/2013,8,2013
63122,-73.858295136859,40.737369620736,1,GRAND LARCENY,05/02/2013,5,2013
23888,-73.92171618533,40.625053681372,1,GRAND LARCENY OF MOTOR VEHICLE,08/10/2013,8,2013
38328,-73.94529454711099,40.830849851705,1,GRAND LARCENY OF MOTOR VEHICLE,08/02/2013,8,2013
34981,-73.938156818745,40.80468632121,3,FELONY ASSAULT,04/16/2013,4,2013
65668,-73.913973026765,40.690571574852,1,FELONY ASSAULT,05/28/2013,5,2013
3834,-73.99684256709,40.661591419381,1,GRAND LARCENY,07/17/2013,7,2013
82900,-73.940789278498,40.838047006368,1,GRAND LARCENY,12/31/2013,12,2013
31441,-73.973520105238,40.757811560012,1,FELONY ASSAULT,09/18/2013,9,2013
65640,-73.892876110321,40.822082128628004,1,FELONY ASSAULT,08/13/2013,8,2013
75363,-73.956701826416,40.820792570702,1,GRAND LARCENY OF MOTOR VEHICLE,05/27/2013,5,2013
14372,-74.116142847436,40.634117907611,1,GRAND LARCENY,11/14/2013,11,2013
72804,-73.87373578232099,40.676453766661,1,ROBBERY,10/05/2013,10,2013
5812,-73.934960235535,40.649273707634,2,FELONY ASSAULT,02/11/2013,2,2013
25936,-74.006659247281,40.645177474587996,1,GRAND LARCENY OF MOTOR VEHICLE,09/28/2013,9,2013
47222,-73.87709163693,40.745230232238,1,ROBBERY,02/08/2013,2,2013
65488,-73.97192341713199,40.752220134664995,1,GRAND LARCENY,08/11/2013,8,2013
22114,-73.72210704165201,40.737428930859,1,GRAND LARCENY,05/02/2013,5,2013
3648,-73.916905991416,40.828390095105,1,ROBBERY,12/06/2013,12,2013
66971,-73.888302176617,40.66481998985,1,FELONY ASSAULT,09/05/2013,9,2013
43315,-73.854571041594,40.8515101762,1,ROBBERY,01/19/2013,1,2013
76906,-74.079671538708,40.637794041594,1,FELONY ASSAULT,06/29/2013,6,2013
19326,-73.950353313553,40.593811886663,1,GRAND LARCENY,02/24/2013,2,2013
21932,-74.118358020101,40.633775294756,1,GRAND LARCENY,04/12/2013,4,2013
14847,-73.858064238474,40.837291437768,1,GRAND LARCENY,12/18/2013,12,2013
39036,-74.003211191636,40.730089838693,1,GRAND LARCENY,10/23/2013,10,2013
75424,-73.904242778431,40.829651078789,1,FELONY ASSAULT,05/01/2013,5,2013
35215,-73.92459510862099,40.634085964998995,2,BURGLARY,04/03/2013,4,2013
77833,-73.780374281949,40.718541807168,1,ROBBERY,06/07/2013,6,2013
74645,-74.109759273799,40.63238672624,1,GRAND LARCENY,07/04/2013,7,2013
70709,-73.836964063278,40.702526813028,1,GRAND LARCENY,01/17/2013,1,2013
759,-74.011563063287,40.704486180541004,1,GRAND LARCENY,11/24/2013,11,2013
39959,-73.945576332525,40.663060769093,1,FELONY ASSAULT,08/19/2013,8,2013
53496,-73.92516228391901,40.706622563107,1,GRAND LARCENY OF MOTOR VEHICLE,09/15/2013,9,2013
89928,-73.898474921853,40.747249244814,1,ROBBERY,04/14/2013,4,2013
38711,-73.91509383116201,40.829832495325,3,FELONY ASSAULT,07/07/2013,7,2013
36092,-74.154687503208,40.562995869063,1,GRAND LARCENY,06/06/2013,6,2013
5972,-73.81839043609,40.731527651878,1,GRAND LARCENY,03/02/2013,3,2013
15768,-73.969276231899,40.685222621902,1,GRAND LARCENY,01/22/2013,1,2013
60125,-73.929171780307,40.670484698254,1,BURGLARY,01/17/2013,1,2013
52831,-73.994262470227,40.738008355405995,2,GRAND LARCENY,10/19/2013,10,2013
51690,-73.983496256247,40.760775000011,2,GRAND LARCENY,05/24/2013,5,2013
5579,-73.981977892282,40.662443677248994,1,GRAND LARCENY,01/04/2013,1,2013
42519,-73.926243000746,40.694782335618,1,BURGLARY,12/08/2013,12,2013
11281,-73.950322874725,40.789604432642996,1,GRAND LARCENY,07/20/2013,7,2013
80280,-73.853652739688,40.853232690788005,1,ROBBERY,09/27/2013,9,2013
67234,-73.884330604012,40.739278870732996,1,GRAND LARCENY,09/30/2013,9,2013
41805,-73.844741918785,40.721783868365996,1,ROBBERY,12/31/2013,12,2013
43188,-73.82210695517,40.757166725194004,1,ROBBERY,06/25/2013,6,2013
92656,-73.96216770934,40.656584251706,1,GRAND LARCENY OF MOTOR VEHICLE,08/04/2013,8,2013
86102,-73.778676650954,40.785447460922,1,GRAND LARCENY OF MOTOR VEHICLE,09/03/2013,9,2013
80206,-73.86536931121701,40.815177765439,1,GRAND LARCENY,09/14/2013,9,2013
51415,-73.97570432875301,40.627992733899,1,GRAND LARCENY OF MOTOR VEHICLE,07/10/2013,7,2013
8237,-73.822534703247,40.765967049273,1,ROBBERY,04/19/2013,4,2013
43029,-73.78430440151101,40.713592184754,1,GRAND LARCENY OF MOTOR VEHICLE,11/17/2013,11,2013
3272,-73.96849350178199,40.632445776621,1,GRAND LARCENY,05/23/2013,5,2013
30261,-73.907228448147,40.678664998894,1,GRAND LARCENY,04/21/2013,4,2013
20729,-73.936106381627,40.807147221396,1,FELONY ASSAULT,05/16/2013,5,2013
28793,-73.95515165208,40.644172565519,1,ROBBERY,12/25/2013,12,2013
46036,-73.99470954224499,40.742833649802,1,GRAND LARCENY,01/04/2013,1,2013
81785,-73.90365608639699,40.628413314105,1,ROBBERY,10/03/2013,10,2013
93351,-73.88234687298899,40.671280754014,1,BURGLARY,08/21/2013,8,2013
58057,-73.856877132732,40.822984505284,1,BURGLARY,06/03/2013,6,2013
73430,-73.945753972898,40.830229763407004,1,ROBBERY,01/02/2013,1,2013
86919,-73.91306011671401,40.821014949246,1,BURGLARY,01/27/2013,1,2013
41501,-73.83136738040301,40.766389283166,1,GRAND LARCENY,03/18/2013,3,2013
73607,-73.87719603854201,40.880460117919,1,FELONY ASSAULT,01/07/2013,1,2013
26980,-73.941413824488,40.838802120603,1,BURGLARY,10/10/2013,10,2013
6055,-73.87654473846099,40.666435627689,1,BURGLARY,02/04/2013,2,2013
4009,-73.92370240646,40.838204396254,1,ROBBERY,08/16/2013,8,2013
35409,-73.962653244081,40.71634631245,1,GRAND LARCENY,04/18/2013,4,2013
256,-73.958498716547,40.645019215854,1,BURGLARY,10/30/2013,10,2013
40044,-73.97328127338601,40.678317773341,1,GRAND LARCENY,08/25/2013,8,2013
43049,-73.879250498809,40.834425380878,1,FELONY ASSAULT,06/17/2013,6,2013
80615,-73.920728105452,40.692640493576,1,ROBBERY,09/12/2013,9,2013
77211,-73.936296971657,40.842013462722996,1,GRAND LARCENY,08/28/2013,8,2013
12558,-73.92043116549,40.654400063287,1,ROBBERY,10/20/2013,10,2013
30003,-73.993943692694,40.751526231492,1,GRAND LARCENY,03/30/2013,3,2013
22193,-73.860670781689,40.745392692094,1,GRAND LARCENY OF MOTOR VEHICLE,05/08/2013,5,2013
34356,-73.93617136138501,40.792122617283,1,FELONY ASSAULT,02/25/2013,2,2013
85857,-73.897500497606,40.754280429375,1,ROBBERY,08/11/2013,8,2013
1857,-73.802029463941,40.665250082105,1,GRAND LARCENY,11/12/2013,11,2013
64992,-73.87095801582,40.682961294104,1,GRAND LARCENY OF MOTOR VEHICLE,07/05/2013,7,2013
36123,-73.792345028733,40.671850684096,1,FELONY ASSAULT,06/12/2013,6,2013
96137,-73.860356199736,40.754290794587,1,GRAND LARCENY,11/17/2013,11,2013
65752,-73.99022823656901,40.73746462277,1,GRAND LARCENY,07/15/2013,7,2013
40363,-73.893539469513,40.847828152926,1,GRAND LARCENY,11/08/2013,11,2013
44742,-73.93734307484101,40.694484244722,1,ROBBERY,07/03/2013,7,2013
16246,-73.783273860484,40.70437330648,1,BURGLARY,01/24/2013,1,2013
64491,-73.748558236947,40.598529349271004,1,BURGLARY,05/31/2013,5,2013
82784,-73.98683784782699,40.747721418173,1,GRAND LARCENY,12/08/2013,12,2013
95734,-73.911609583054,40.819586592405,1,GRAND LARCENY,11/24/2013,11,2013
44698,-73.961901983724,40.654871420430005,1,GRAND LARCENY,07/10/2013,7,2013
26221,-73.821308230634,40.675467530514,1,GRAND LARCENY,09/15/2013,9,2013
37770,-73.977854947415,40.682611569702,1,BURGLARY,07/21/2013,7,2013
88866,-73.923965871868,40.661431839532,1,GRAND LARCENY,09/05/2013,9,2013
90374,-73.93647408184,40.773870297182,1,RAPE,05/11/2013,5,2013
76148,-73.907782084942,40.630269431226,1,GRAND LARCENY,04/01/2013,4,2013
24325,-73.899552263959,40.743624372971,1,ROBBERY,07/18/2013,7,2013
3052,-74.013740138274,40.645349767989,1,GRAND LARCENY,04/09/2013,4,2013
3375,-73.87445357949001,40.752863283786,1,ROBBERY,05/11/2013,5,2013
8880,-73.981637637996,40.720045352449006,1,FELONY ASSAULT,06/28/2013,6,2013
64833,-73.988294401844,40.612456438784,1,BURGLARY,08/08/2013,8,2013
90238,-73.732909858952,40.659365517137,1,GRAND LARCENY,05/04/2013,5,2013
15149,-73.962661225887,40.663462831615,1,ROBBERY,12/19/2013,12,2013
81325,-73.978908414342,40.646334032239,1,BURGLARY,11/09/2013,11,2013
59255,-73.997498719452,40.657430349189,1,ROBBERY,12/16/2013,12,2013
29071,-73.877105516407,40.725967549782,2,BURGLARY,12/21/2013,12,2013
23470,-73.94436916158,40.692928826611,1,GRAND LARCENY,05/27/2013,5,2013
94503,-73.933902169221,40.698761413727,1,GRAND LARCENY,08/12/2013,8,2013
24374,-73.853511284318,40.728712157496,1,FELONY ASSAULT,07/28/2013,7,2013
24017,-73.874495367831,40.686621246182,1,BURGLARY,07/25/2013,7,2013
60754,-73.85936438269201,40.678704284007004,1,GRAND LARCENY,02/12/2013,2,2013
17379,-73.79211268296,40.673530071909,1,GRAND LARCENY OF MOTOR VEHICLE,01/23/2013,1,2013
33706,-73.988678694976,40.725077401886,2,GRAND LARCENY,03/04/2013,3,2013
1389,-73.904941147973,40.813798160231,1,RAPE,12/12/2013,12,2013
90777,-73.97876683980999,40.785471381605,1,ROBBERY,06/10/2013,6,2013
87248,-73.979972098215,40.68022949489,1,FELONY ASSAULT,01/03/2013,1,2013
3255,-73.978322030736,40.643270743613,1,FELONY ASSAULT,05/03/2013,5,2013
12142,-73.86523552532199,40.870541167701,1,FELONY ASSAULT,09/09/2013,9,2013
75552,-73.898043780519,40.870964565717,1,BURGLARY,05/31/2013,5,2013
67111,-73.944165427995,40.707989262911,2,GRAND LARCENY,09/13/2013,9,2013
19516,-73.90763880325,40.699959266731,1,ROBBERY,03/06/2013,3,2013
66335,-74.000602637661,40.739844735833,1,ROBBERY,10/29/2013,10,2013
3547,-73.905878899384,40.699927648572,1,GRAND LARCENY,11/23/2013,11,2013
52457,-73.827131697306,40.75290079773,1,GRAND LARCENY,05/06/2013,5,2013
62060,-73.981963178387,40.730190026792,1,GRAND LARCENY,04/06/2013,4,2013
58891,-73.893393155028,40.853421728337004,1,BURGLARY,06/30/2013,6,2013
19243,-73.914578301721,40.842971050177,1,GRAND LARCENY,02/09/2013,2,2013
2313,-73.97998426276,40.783846717184,1,FELONY ASSAULT,12/01/2013,12,2013
61046,-73.945944125427,40.809669165682,1,GRAND LARCENY OF MOTOR VEHICLE,03/14/2013,3,2013
65010,-73.89507797491,40.663012069587005,1,FELONY ASSAULT,07/14/2013,7,2013
24960,-73.938914498189,40.817438707019,1,GRAND LARCENY,07/24/2013,7,2013
83271,-73.88513702995,40.681768620601,1,BURGLARY,12/20/2013,12,2013
70750,-73.854310571198,40.726185247472,1,ROBBERY,01/05/2013,1,2013
80835,-74.002807346086,40.650604070194,1,GRAND LARCENY OF MOTOR VEHICLE,08/31/2013,8,2013
6028,-74.0128593697,40.637488804026,2,BURGLARY,02/17/2013,2,2013
15111,-73.863751647051,40.677131315924,1,BURGLARY,12/15/2013,12,2013
86549,-73.957428692429,40.718112124796,1,GRAND LARCENY,01/23/2013,1,2013
24170,-73.958503250884,40.713051177753,1,BURGLARY,07/21/2013,7,2013
17126,-73.94483714031,40.829024398964,1,GRAND LARCENY,12/15/2013,12,2013
54712,-73.957950467568,40.805944090272,1,BURGLARY,06/15/2013,6,2013
89045,-73.967987279968,40.598706638416,1,ROBBERY,05/31/2013,5,2013
40321,-73.90514893655501,40.85557835085,1,ROBBERY,11/21/2013,11,2013
3538,-73.857442410478,40.683925228248,1,ROBBERY,11/13/2013,11,2013
33593,-73.76224552287199,40.690572223469,1,BURGLARY,02/15/2013,2,2013
32852,-73.952419780044,40.685255313462,2,BURGLARY,01/06/2013,1,2013
61149,-73.892457765087,40.861847096911,1,GRAND LARCENY,03/03/2013,3,2013
96227,-73.980617400696,40.730058059869,3,GRAND LARCENY,12/10/2013,12,2013
49734,-73.765282699113,40.704639950777995,1,GRAND LARCENY,04/30/2013,4,2013
37195,-73.95774500129,40.714228404731,1,BURGLARY,05/13/2013,5,2013
53593,-73.812992099512,40.711141877104,1,FELONY ASSAULT,09/06/2013,9,2013
77041,-73.944641209241,40.786560679915,1,FELONY ASSAULT,05/29/2013,5,2013
36340,-73.931872040042,40.80084565062,1,GRAND LARCENY,06/01/2013,6,2013
84527,-73.906668765826,40.668975484113005,2,GRAND LARCENY,03/04/2013,3,2013
20923,-73.879661685733,40.884804815804,1,BURGLARY,01/05/2013,1,2013
43163,-73.95948731095899,40.714193349153,1,GRAND LARCENY,06/09/2013,6,2013
50814,-73.932759325672,40.666202252751,1,GRAND LARCENY,05/08/2013,5,2013
4886,-73.981345451718,40.694181395815,1,ROBBERY,01/15/2013,1,2013
97312,-73.84034725871899,40.685873528692,1,ROBBERY,11/20/2013,11,2013
76768,-73.775929333351,40.680076192459005,1,FELONY ASSAULT,05/18/2013,5,2013
92628,-73.984169946186,40.720814260997,1,GRAND LARCENY,08/24/2013,8,2013
82431,-73.951422603541,40.801860117338,1,GRAND LARCENY,11/15/2013,11,2013
4465,-73.979989745328,40.717541857049,1,ROBBERY,10/20/2013,10,2013
65096,-73.924609337605,40.701220502883004,1,ROBBERY,07/31/2013,7,2013
60490,-73.963082166042,40.632315161423996,1,BURGLARY,06/19/2013,6,2013
47706,-73.99174590610501,40.603931404708,1,GRAND LARCENY,03/03/2013,3,2013
135,-73.967459376697,40.580972335791,2,FELONY ASSAULT,10/29/2013,10,2013
58480,-73.955999811634,40.767802554088,1,FELONY ASSAULT,08/14/2013,8,2013
19750,-73.808666793128,40.705011187468,2,FELONY ASSAULT,02/01/2013,2,2013
39034,-74.00846468650799,40.731110621273,1,GRAND LARCENY,10/15/2013,10,2013
3334,-73.91131587377599,40.844782840286996,1,ROBBERY,06/09/2013,6,2013
70161,-73.974607435106,40.679844167790996,1,GRAND LARCENY,11/01/2013,11,2013
63980,-73.885692083441,40.656637975982,1,FELONY ASSAULT,06/24/2013,6,2013
81412,-73.889336675998,40.740867512802,1,ROBBERY,08/26/2013,8,2013
65481,-73.983208022801,40.758609355443,2,GRAND LARCENY,08/09/2013,8,2013
64917,-73.95957419446499,40.654206388647,1,FELONY ASSAULT,08/18/2013,8,2013
43801,-73.964160771244,40.797481451931,1,RAPE,04/01/2013,4,2013
84897,-73.98119859336501,40.575565398789,1,ROBBERY,05/09/2013,5,2013
50206,-73.910183149063,40.845855144605,1,BURGLARY,06/11/2013,6,2013
503,-73.796245473613,40.704923995551,1,GRAND LARCENY,10/20/2013,10,2013
18254,-73.94968150946,40.802024054078004,1,FELONY ASSAULT,11/25/2013,11,2013
73662,-73.975241622812,40.641958114321,1,ROBBERY,01/13/2013,1,2013
16768,-73.846921228121,40.676105565818,1,BURGLARY,01/12/2013,1,2013
74862,-73.899416501001,40.850281705163,1,BURGLARY,03/05/2013,3,2013
27171,-73.907970783042,40.893152748539,1,BURGLARY,10/10/2013,10,2013
16627,-73.844580963735,40.790803118051,1,GRAND LARCENY OF MOTOR VEHICLE,04/29/2013,4,2013
32628,-73.860452248079,40.868674577114,1,GRAND LARCENY,01/19/2013,1,2013
62475,-73.961086750433,40.668474274588,1,FELONY ASSAULT,04/25/2013,4,2013
69098,-73.885783611205,40.752639026915,1,BURGLARY,11/15/2013,11,2013
39636,-73.938292148858,40.666501789731996,1,BURGLARY,09/12/2013,9,2013
60439,-73.947358356661,40.706931288385,1,GRAND LARCENY,03/16/2013,3,2013
81315,-74.004939867383,40.638211295839,1,GRAND LARCENY,11/26/2013,11,2013
69132,-73.963013052143,40.705013303179,1,ROBBERY,11/12/2013,11,2013
36497,-73.86559501814101,40.846525433704,1,ROBBERY,06/15/2013,6,2013
92255,-73.980975519469,40.663648473748005,1,GRAND LARCENY,07/18/2013,7,2013
4345,-73.906128937128,40.678589998187,2,GRAND LARCENY,09/20/2013,9,2013
15335,-73.87223730185,40.751063035781,1,ROBBERY,12/22/2013,12,2013
70938,-73.994838879862,40.750296628279,1,GRAND LARCENY,03/12/2013,3,2013
87099,-73.91019818962499,40.609814399639,1,GRAND LARCENY OF MOTOR VEHICLE,01/23/2013,1,2013
96654,-73.878307729649,40.881614065902,1,GRAND LARCENY,12/11/2013,12,2013
15857,-73.9367531812,40.704290975456,1,GRAND LARCENY,01/30/2013,1,2013
52602,-74.12577552047,40.583636434201004,1,GRAND LARCENY,08/14/2013,8,2013
95996,-73.970529351193,40.795010255548,1,GRAND LARCENY,11/14/2013,11,2013
26135,-73.90676141922201,40.695528502681,1,FELONY ASSAULT,03/19/2013,3,2013
75515,-73.847621924099,40.893283733901,1,BURGLARY,05/31/2013,5,2013
67033,-73.974444794382,40.671478058301,2,GRAND LARCENY,09/18/2013,9,2013
75292,-73.934857050198,40.847224857919,1,GRAND LARCENY,02/03/2013,2,2013
39645,-73.89949937531,40.838493253996,1,GRAND LARCENY OF MOTOR VEHICLE,05/18/2013,5,2013
91215,-73.967814581187,40.680572577897,1,ROBBERY,06/12/2013,6,2013
78538,-74.004226712568,40.642339482218,2,FELONY ASSAULT,07/08/2013,7,2013
78775,-73.882365109484,40.701819121845006,1,GRAND LARCENY,07/22/2013,7,2013
51777,-73.787698594152,40.683071107343004,1,FELONY ASSAULT,07/24/2013,7,2013
20260,-73.866579002005,40.84248910772,1,FELONY ASSAULT,03/28/2013,3,2013
38514,-73.981596508572,40.764477370095,1,GRAND LARCENY,07/31/2013,7,2013
14228,-73.950682913026,40.786203863592,1,ROBBERY,11/23/2013,11,2013
64527,-73.792250104802,40.704639631792,1,ROBBERY,05/29/2013,5,2013
52961,-73.950682913026,40.786203863592,2,GRAND LARCENY,09/18/2013,9,2013
52553,-73.949606943632,40.762156745492,1,FELONY ASSAULT,08/17/2013,8,2013
37693,-73.867777040879,40.677956700654995,1,ROBBERY,07/10/2013,7,2013
35802,-73.761174960526,40.706566567214,1,FELONY ASSAULT,01/11/2013,1,2013
9953,-73.915889131657,40.855295742506,1,FELONY ASSAULT,07/07/2013,7,2013
22555,-73.980590514743,40.723264782487995,1,ROBBERY,06/11/2013,6,2013
48071,-73.988705834916,40.777817718794,1,GRAND LARCENY,02/14/2013,2,2013
44515,-73.883110936677,40.848276423302,1,ROBBERY,12/22/2013,12,2013
85055,-73.98361809491999,40.74972741619,1,GRAND LARCENY,06/21/2013,6,2013
66532,-73.947563539438,40.799152125483,2,FELONY ASSAULT,09/12/2013,9,2013
48202,-73.943284430673,40.836244985328996,1,BURGLARY,05/22/2013,5,2013
37463,-73.897489809572,40.880842226324,1,GRAND LARCENY,08/01/2013,8,2013
7212,-73.900694315428,40.880510175791,1,GRAND LARCENY,08/10/2013,8,2013
24001,-73.79170528008099,40.67931259105,1,ROBBERY,01/01/2013,1,2013
4322,-73.941323236684,40.65468160752,1,GRAND LARCENY,09/01/2013,9,2013
29115,-73.797530162165,40.721320767452,1,BURGLARY,12/11/2013,12,2013
50511,-73.86961285767,40.675735526077,1,ROBBERY,06/30/2013,6,2013
45008,-74.00882421258099,40.639646586595,1,GRAND LARCENY,08/30/2013,8,2013
20035,-73.91889052604701,40.824793184976,1,FELONY ASSAULT,01/21/2013,1,2013
63026,-73.756193601597,40.660309282108,1,GRAND LARCENY OF MOTOR VEHICLE,05/03/2013,5,2013
45346,-73.884128955062,40.857304785711996,1,GRAND LARCENY,04/06/2013,4,2013
97522,-73.987840683803,40.770102172158,2,GRAND LARCENY,10/26/2013,10,2013
22192,-73.85593276543,40.748504901985996,1,BURGLARY,05/07/2013,5,2013
64285,-73.905869335636,40.642844502397,1,GRAND LARCENY OF MOTOR VEHICLE,05/23/2013,5,2013
31265,-73.872802100375,40.84087126922,1,ROBBERY,08/24/2013,8,2013
7324,-73.89386712815501,40.866739455953,1,ROBBERY,05/07/2013,5,2013
46163,-73.938380589159,40.836096999938995,1,FELONY ASSAULT,01/28/2013,1,2013
44540,-74.02773098140601,40.624302958608,1,ROBBERY,12/08/2013,12,2013
45059,-73.93959711590901,40.706211093802,1,GRAND LARCENY,08/12/2013,8,2013
58796,-73.918335815763,40.823387498164,1,FELONY ASSAULT,09/19/2013,9,2013
22447,-73.910050650688,40.663181204279,1,ROBBERY,01/13/2013,1,2013
39510,-74.003910592424,40.597464892401,1,GRAND LARCENY,09/12/2013,9,2013
78513,-73.95881982406101,40.638536147418996,1,BURGLARY,07/10/2013,7,2013
75569,-73.878740417172,40.880327260966,1,FELONY ASSAULT,05/13/2013,5,2013
1996,-73.8804680314,40.738042531657,1,BURGLARY,12/03/2013,12,2013
29209,-73.881186241219,40.683340109715,1,GRAND LARCENY OF MOTOR VEHICLE,11/11/2013,11,2013
47564,-73.85910267382,40.831583703811,1,GRAND LARCENY OF MOTOR VEHICLE,03/16/2013,3,2013
15318,-73.815189123991,40.729238917054,1,FELONY ASSAULT,12/21/2013,12,2013
78457,-73.85130255319,40.835710197141,1,ROBBERY,08/21/2013,8,2013
55325,-73.830012856881,40.76102680103,1,GRAND LARCENY,11/18/2013,11,2013
39265,-73.953967493796,40.798877643248,1,BURGLARY,09/12/2013,9,2013
5694,-73.843903044955,40.899726030928996,1,FELONY ASSAULT,02/22/2013,2,2013
7018,-73.950666200085,40.769771117486,3,GRAND LARCENY,02/27/2013,2,2013
52111,-73.978741537496,40.683759051698,2,GRAND LARCENY,03/11/2013,3,2013
54627,-73.937025982059,40.636950769444,1,GRAND LARCENY,10/19/2013,10,2013
17897,-73.907244213163,40.711396388701,1,GRAND LARCENY OF MOTOR VEHICLE,09/21/2013,9,2013
74087,-73.916235950498,40.691852307337996,1,BURGLARY,03/18/2013,3,2013
45998,-73.985021277291,40.721069637471,1,ROBBERY,01/02/2013,1,2013
28118,-74.174882160715,40.626360892614,1,GRAND LARCENY,11/17/2013,11,2013
59453,-73.73380831022399,40.658214786848,1,GRAND LARCENY OF MOTOR VEHICLE,01/04/2013,1,2013
74928,-73.95378968244,40.581549549057996,1,GRAND LARCENY,03/22/2013,3,2013
54070,-73.913298185227,40.854591180461,1,GRAND LARCENY,11/28/2013,11,2013
91224,-73.752764235911,40.598516516381004,1,GRAND LARCENY,09/10/2013,9,2013
1361,-73.94256677557999,40.821950157075,1,ROBBERY,12/24/2013,12,2013
63332,-74.01327691674,40.707867545068005,1,GRAND LARCENY,07/29/2013,7,2013
12229,-73.94487921635,40.590669340088,1,RAPE,09/23/2013,9,2013
64699,-73.918710966801,40.649384140974,1,GRAND LARCENY,07/15/2013,7,2013
77111,-77.519584371673,40.112385297478,34,FELONY ASSAULT,05/19/2013,5,2013
63448,-73.99875555248201,40.711870168199,1,ROBBERY,06/19/2013,6,2013
48312,-73.934324696355,40.705494567449,1,ROBBERY,04/13/2013,4,2013
82971,-73.904435845918,40.828569821013,1,FELONY ASSAULT,12/06/2013,12,2013
7347,-73.956041114783,40.584896346317,1,GRAND LARCENY,05/22/2013,5,2013
94600,-73.905393721138,40.716524844706,1,GRAND LARCENY OF MOTOR VEHICLE,08/23/2013,8,2013
87511,-73.884836963344,40.857610156632,1,ROBBERY,09/09/2013,9,2013
18873,-73.85971527866201,40.875238998648,1,GRAND LARCENY,01/30/2013,1,2013
75089,-74.01012641495,40.720436127201,1,GRAND LARCENY,08/29/2013,8,2013
35069,-73.849926497487,40.820933596239,1,FELONY ASSAULT,04/29/2013,4,2013
3705,-73.99459064669401,40.740445710956,1,GRAND LARCENY,07/30/2013,7,2013
92334,-73.989808239389,40.699523773858,1,GRAND LARCENY,05/15/2013,5,2013
16527,-73.891744662313,40.860180396593,1,ROBBERY,04/06/2013,4,2013
82767,-73.922212901736,40.687228818513,1,MURDER,08/07/2013,8,2013
1301,-73.97313108694199,40.782632150601,1,GRAND LARCENY,12/03/2013,12,2013
93151,-73.873759275556,40.824025258826,1,GRAND LARCENY,07/31/2013,7,2013
81474,-73.943403155531,40.832622023778,2,ROBBERY,10/05/2013,10,2013
91157,-73.823081364552,40.694716647519996,1,BURGLARY,09/03/2013,9,2013
13537,-73.963904729599,40.596926799428,2,FELONY ASSAULT,10/21/2013,10,2013
61808,-73.845871781457,40.8478484193,1,GRAND LARCENY OF MOTOR VEHICLE,05/31/2013,5,2013
40126,-73.94353582703,40.71461206859,1,BURGLARY,08/20/2013,8,2013
20219,-73.858064238474,40.837291437768,1,GRAND LARCENY,03/26/2013,3,2013
47831,-73.755549234256,40.693530790745,1,FELONY ASSAULT,01/29/2013,1,2013
19945,-73.927695798154,40.831570254748,1,GRAND LARCENY,01/26/2013,1,2013
96804,-73.909951724704,40.680390880992,1,FELONY ASSAULT,12/12/2013,12,2013
42190,-73.85455183458801,40.878476835690996,1,FELONY ASSAULT,12/25/2013,12,2013
35462,-73.793503266691,40.70877002321,1,ROBBERY,04/29/2013,4,2013
5722,-73.886509719466,40.881493422081,1,FELONY ASSAULT,02/04/2013,2,2013
82467,-73.905776649673,40.741653411796996,1,GRAND LARCENY,11/23/2013,11,2013
18988,-73.930531729604,40.621148017785,1,GRAND LARCENY,01/30/2013,1,2013
70523,-73.950937031778,40.622668172800005,1,GRAND LARCENY,07/31/2013,7,2013
94270,-73.821339794358,40.702712224142,1,FELONY ASSAULT,09/24/2013,9,2013
79851,-74.13080167314999,40.638941231349,1,RAPE,09/22/2013,9,2013
89584,-73.926657249872,40.626357970688,1,GRAND LARCENY,04/18/2013,4,2013
62798,-73.86910462487701,40.743651433416,1,ROBBERY,04/28/2013,4,2013
80008,-73.99649575291299,40.745320461499,1,GRAND LARCENY,09/22/2013,9,2013
10897,-73.96832813035,40.753155160881,1,GRAND LARCENY,08/26/2013,8,2013
63030,-73.73268561454,40.691940133048,1,BURGLARY,05/28/2013,5,2013
28068,-73.884214394478,40.667022751375,1,FELONY ASSAULT,02/03/2013,2,2013
19471,-73.951167180746,40.716759217038,1,GRAND LARCENY,03/04/2013,3,2013
58217,-74.000584751268,40.757693833152,2,FELONY ASSAULT,07/13/2013,7,2013
53288,-73.937165947411,40.633711996099,4,FELONY ASSAULT,09/19/2013,9,2013
69449,-73.949235685534,40.823001767897,1,ROBBERY,12/18/2013,12,2013
91642,-73.917913554213,40.67948008179,2,FELONY ASSAULT,05/03/2013,5,2013
16148,-73.914561975031,40.819100257727,1,GRAND LARCENY,02/04/2013,2,2013
42254,-73.892939214926,40.865950870341,1,FELONY ASSAULT,12/18/2013,12,2013
59517,-73.777798395566,40.748885706547,1,GRAND LARCENY OF MOTOR VEHICLE,01/09/2013,1,2013
64308,-73.955370301759,40.662068630941,1,FELONY ASSAULT,05/25/2013,5,2013
41336,-73.78491731588001,40.765109732058,1,GRAND LARCENY,10/27/2013,10,2013
35771,-73.986522304174,40.755420397266,1,GRAND LARCENY,05/29/2013,5,2013
18048,-73.913651530723,40.88035042651,1,ROBBERY,10/08/2013,10,2013
