Name,Status,Fall,Year,Place,Occurrence,,Type,Mass,MetBull
Hardesty **,Official,,1986,Oklahoma,1, USA,"Iron, IIIAB",8.58 kg,68
Renfrow **,Official,,1986,Oklahoma,1, USA,L6,81.6 kg,81
Colony **,Official,,1975,Oklahoma,1, USA,CO3.0,3.91 kg,62
Roosevelt,Official,,1972,Oklahoma,1, USA,H3.4,5.2 kg,
Burns Flat **,Official,,1971,Oklahoma,1, USA,L6,1987 g,75
Willowbar **,Official,,1971,Oklahoma,1, USA,L6,2.07 kg,52
Felt,Official,,1970,Oklahoma,1, USA,H6,5.4 kg,
Lost City **,Official,Y,1970,Oklahoma,1, USA,H5,17 kg,49
Eva **,Official,,1965,Oklahoma,1, USA,H5,6.7 kg,51
Springer,Official,,1965,Oklahoma,1, USA,H5,8.14 kg,
Tishomingo,Official,,1965,Oklahoma,1, USA,"Iron, ungrouped",260 kg,
Carnegie **,Official,,1963,Oklahoma,1, USA,L6,132.7 kg,67
Lahoma **,Official,,1963,Oklahoma,1, USA,L5,21.8 kg,83
Hunter **,Official,,1962,Oklahoma,1, USA,LL5,74.6 kg,56
Cleo Springs **,Official,,1960,Oklahoma,1, USA,H4,24 kg,81
Watonga **,Official,,1960,Oklahoma,1, USA,LL3.1,5.03 kg,101
Kingfisher,Official,,1950,Oklahoma,1, USA,L5,8.18 kg,
Walters,Official,Y,1946,Oklahoma,1, USA,L6,28.1 kg,
Atoka,Official,Y,1945,Oklahoma,1, USA,L6,1384 g,
Leedey,Official,Y,1943,Oklahoma,1, USA,L6,51.5 kg,
Beaver **,Official,,1940,Oklahoma,1, USA,L5,25.63 kg,61
Keyes,Official,,1939,Oklahoma,1, USA,L6,142 kg,
Soper,Official,,1938,Oklahoma,1, USA,"Iron, ungrouped",3.7 kg,
Cashion **,Official,,1936,Oklahoma,1, USA,H4,5.9 kg,8
Crescent,Official,Y,1936,Oklahoma,1, USA,CM2,78.4 g,
Marlow **,Official,,1936,Oklahoma,1, USA,L5,68 kg,8
Amber **,Official,,1934,Oklahoma,1, USA,L6,4.53 kg,8
Lake Murray **,Official,,1933,Oklahoma,1, USA,"Iron, IIAB",270 kg,8
Cushing,Official,,1932,Oklahoma,1, USA,H4,567 g,
McAlester,Doubtful,,1927,Oklahoma,1, USA,Doubtful meteorite,,
Weatherford,Official,,1926,Oklahoma,1, USA,CBa,2 kg,
Woodward County,Official,,1923,Oklahoma,1, USA,H4,45.5 kg,
Zaffra,Official,,1919,Oklahoma,1, USA,"Iron, IAB-MG",3 kg,
Logan,Official,,1918,Oklahoma,1, USA,H5,1315 g,
Meers,Doubtful,,1913,Oklahoma,1, USA,Doubtful Iron,,
Blackwell,Official,Y,1906,Oklahoma,1, USA,L5,2.38 kg,
Knowles,Official,,1903,Oklahoma,1, USA,"Iron, IIIAB",161 kg,
Morrow County **,Official,,1999,Oregon,1, USA,L6,18.2 kg,98
Salem **,Official,Y,1981,Oregon,1, USA,L6,61.4 g,60
