country,code,year,population,continent,gdp-per-capita,departures,happiness-score
Japan,JPN,2015,127985000,Asia,37882.98062,16214000,5.987
Russia,RUS,2015,144984992,Europe,24516.54995,34550000,5.716
Bangladesh,BGD,2015,156256000,Asia,3132.56754,,4.694
Nigeria,NGA,2015,181136992,Africa,5670.639443,,5.268
Pakistan,PAK,2015,199427008,Asia,4695.699879,,5.194
Brazil,BRA,2015,204472000,South America,14702.59127,9708000,6.983
Indonesia,IDN,2015,258383008,Asia,10367.70199,8176000,5.399
United States,USA,2015,320878016,North America,53005.63615,73453000,7.119
India,IND,2015,1310151936,Asia,5756.664665,20376000,4.565
China,CHN,2015,1406848000,Asia,13569.89153,127860000,5.14
Kosovo,OWID_KOS,2015,,Europe,9154.943527,,5.589
