symbol,date,price
MSFT,Sep-06,25.68
MSFT,Oct-06,26.96
MSFT,Nov-06,27.66
MSFT,Dec-06,28.13
MSFT,Jan-07,29.07
MSFT,Feb-07,26.63
MSFT,Mar-07,26.35
MSFT,Apr-07,28.3
MSFT,May-07,29.11
MSFT,Jun-07,27.95
MSFT,Jul-07,27.5
MSFT,Aug-07,27.34
MSFT,Sep-07,28.04
MSFT,Oct-07,35.03
MSFT,Nov-07,32.09
MSFT,Dec-07,34
MSFT,Jan-08,31.13
MSFT,Feb-08,26.07
MSFT,Mar-08,27.21
MSFT,Apr-08,27.34
MSFT,May-08,27.25
MSFT,Jun-08,26.47
MSFT,Jul-08,24.75
MSFT,Aug-08,26.36
MSFT,Sep-08,25.78
MSFT,Oct-08,21.57
MSFT,Nov-08,19.66
MSFT,Dec-08,18.91
MSFT,Jan-09,16.63
MSFT,Feb-09,15.81
MSFT,Mar-09,17.99
MSFT,Apr-09,19.84
MSFT,May-09,20.59
MSFT,Jun-09,23.42
MSFT,Jul-09,23.18
MSFT,Aug-09,24.43
MSFT,Sep-09,25.49
MSFT,Oct-09,27.48
MSFT,Nov-09,29.27
MSFT,Dec-09,30.34
MSFT,Jan-10,28.05
MSFT,Feb-10,28.67
MSFT,Mar-10,28.8
AMZN,Jan-00,64.56
AMZN,Feb-00,68.87
AMZN,Mar-00,67
AMZN,Apr-00,55.19
AMZN,May-00,48.31
AMZN,Jun-00,36.31
AMZN,Jul-00,30.12
AMZN,Aug-00,41.5
AMZN,Sep-00,38.44
AMZN,Oct-00,36.62
AMZN,Nov-00,24.69
AMZN,Dec-00,15.56
AMZN,Jan-01,17.31
AMZN,Feb-01,10.19
AMZN,Mar-01,10.23
AMZN,Apr-01,15.78
AMZN,May-01,16.69
AMZN,Jun-01,14.15
AMZN,Jul-01,12.49
AMZN,Aug-01,8.94
AMZN,Sep-01,5.97
AMZN,Oct-01,6.98
AMZN,Nov-01,11.32
AMZN,Dec-01,10.82
AMZN,Jan-02,14.19
AMZN,Feb-02,14.1
AMZN,Mar-02,14.3
AMZN,Apr-02,16.69
AMZN,May-02,18.23
AMZN,Jun-02,16.25
AMZN,Jul-02,14.45
AMZN,Aug-02,14.94
AMZN,Sep-02,15.93
AMZN,Oct-02,19.36
AMZN,Nov-02,23.35
AMZN,Dec-02,18.89
AMZN,Jan-03,21.85
AMZN,Feb-03,22.01
AMZN,Mar-03,26.03
AMZN,Apr-03,28.69
AMZN,May-03,35.89
AMZN,Jun-03,36.32
AMZN,Jul-03,41.64
AMZN,Aug-03,46.32
AMZN,Sep-03,48.43
AMZN,Oct-03,54.43
AMZN,Nov-03,53.97
AMZN,Dec-03,52.62
AMZN,Jan-04,50.4
AMZN,Feb-04,43.01
AMZN,Mar-04,43.28
AMZN,Apr-04,43.6
AMZN,May-04,48.5
AMZN,Jun-04,54.4
AMZN,Jul-04,38.92
AMZN,Aug-04,38.14
AMZN,Sep-04,40.86
AMZN,Oct-04,34.13
AMZN,Nov-04,39.68
AMZN,Dec-04,44.29
AMZN,Jan-05,43.22
AMZN,Feb-05,35.18
AMZN,Mar-05,34.27
AMZN,Apr-05,32.36
AMZN,May-05,35.51
AMZN,Jun-05,33.09
AMZN,Jul-05,45.15
AMZN,Aug-05,42.7
AMZN,Sep-05,45.3
AMZN,Oct-05,39.86
AMZN,Nov-05,48.46
AMZN,Dec-05,47.15
AMZN,Jan-06,44.82
AMZN,Feb-06,37.44
AMZN,Mar-06,36.53
AMZN,Apr-06,35.21
AMZN,May-06,34.61
AMZN,Jun-06,38.68
AMZN,Jul-06,26.89
AMZN,Aug-06,30.83
AMZN,Sep-06,32.12
AMZN,Oct-06,38.09
AMZN,Nov-06,40.34
AMZN,Dec-06,39.46
AMZN,Jan-07,37.67
AMZN,Feb-07,39.14
AMZN,Mar-07,39.79
AMZN,Apr-07,61.33
AMZN,May-07,69.14
AMZN,Jun-07,68.41
AMZN,Jul-07,78.54
AMZN,Aug-07,79.91
AMZN,Sep-07,93.15
AMZN,Oct-07,89.15
AMZN,Nov-07,90.56
AMZN,Dec-07,92.64
AMZN,Jan-08,77.7
AMZN,Feb-08,64.47
AMZN,Mar-08,71.3
AMZN,Apr-08,78.63
AMZN,May-08,81.62
AMZN,Jun-08,73.33
AMZN,Jul-08,76.34
AMZN,Aug-08,80.81
AMZN,Sep-08,72.76
AMZN,Oct-08,57.24
AMZN,Nov-08,42.7
AMZN,Dec-08,51.28
AMZN,Jan-09,58.82
AMZN,Feb-09,64.79
AMZN,Mar-09,73.44
AMZN,Apr-09,80.52
AMZN,May-09,77.99
AMZN,Jun-09,83.66
AMZN,Jul-09,85.76
AMZN,Aug-09,81.19
AMZN,Sep-09,93.36
AMZN,Oct-09,118.81
AMZN,Nov-09,135.91
AMZN,Dec-09,134.52
AMZN,Jan-10,125.41
AMZN,Feb-10,118.4
AMZN,Mar-10,128.82
IBM,Jan-00,100.52
IBM,Feb-00,92.11
IBM,Mar-00,106.11
IBM,Apr-00,99.95
IBM,May-00,96.31
IBM,Jun-00,98.33
IBM,Jul-00,100.74
IBM,Aug-00,118.62
IBM,Sep-00,101.19
IBM,Oct-00,88.5
IBM,Nov-00,84.12
IBM,Dec-00,76.47
IBM,Jan-01,100.76
IBM,Feb-01,89.98
IBM,Mar-01,86.63
IBM,Apr-01,103.7
IBM,May-01,100.82
IBM,Jun-01,102.35
IBM,Jul-01,94.87
IBM,Aug-01,90.25
IBM,Sep-01,82.82
IBM,Oct-01,97.58
IBM,Nov-01,104.5
IBM,Dec-01,109.36
IBM,Jan-02,97.54
IBM,Feb-02,88.82
IBM,Mar-02,94.15
IBM,Apr-02,75.82
IBM,May-02,72.97
IBM,Jun-02,65.31
IBM,Jul-02,63.86
IBM,Aug-02,68.52
IBM,Sep-02,53.01
IBM,Oct-02,71.76
IBM,Nov-02,79.16
IBM,Dec-02,70.58
IBM,Jan-03,71.22
IBM,Feb-03,71.13
IBM,Mar-03,71.57
IBM,Apr-03,77.47
IBM,May-03,80.48
IBM,Jun-03,75.42
IBM,Jul-03,74.28
IBM,Aug-03,75.12
IBM,Sep-03,80.91
IBM,Oct-03,81.96
IBM,Nov-03,83.08
IBM,Dec-03,85.05
IBM,Jan-04,91.06
IBM,Feb-04,88.7
IBM,Mar-04,84.41
IBM,Apr-04,81.04
IBM,May-04,81.59
IBM,Jun-04,81.19
IBM,Jul-04,80.19
IBM,Aug-04,78.17
IBM,Sep-04,79.13
IBM,Oct-04,82.84
IBM,Nov-04,87.15
IBM,Dec-04,91.16
IBM,Jan-05,86.39
IBM,Feb-05,85.78
IBM,Mar-05,84.66
IBM,Apr-05,70.77
IBM,May-05,70.18
IBM,Jun-05,68.93
IBM,Jul-05,77.53
IBM,Aug-05,75.07
IBM,Sep-05,74.7
IBM,Oct-05,76.25
IBM,Nov-05,82.98
IBM,Dec-05,76.73
IBM,Jan-06,75.89
